MonthYear,TotalSales,Forecast
2017-06-01,476748.09,
2017-07-01,409478.58,
2017-08-01,469298.47,451841.7133333334
2017-09-01,395893.13,424890.06
2017-10-01,392951.87,419381.1566666667
2017-11-01,437621.85,408822.2833333334
2017-12-01,438591.71,423055.1433333333
2018-01-01,330309.44,402174.3333333333
2018-02-01,342812.65,370571.26666666666
2019-01-01,356481.77,343201.2866666667
2019-02-01,328701.22,342665.2133333333
2019-03-01,377701.76,354294.9166666667
2019-04-01,379183.45,361862.1433333333
2019-05-01,478744.68,411876.63000000006
2019-06-01,437447.47000000003,431791.8666666667
2019-07-01,465734.96,460642.37000000005
2019-08-01,440231.7,447804.71
2019-09-01,400172.23,435379.63000000006
2019-10-01,438433.44,426279.12333333335
2019-11-01,400729.75,413111.80666666664
2020-01-01,358433.49,399198.89333333337
2020-03-01,426864.27,395342.50333333336
2020-07-01,512633.38,432643.7133333334
2020-09-01,447456.29,462317.98
